0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
140,8654,13100,6595,10834,11600,8578,13006,13020,1272,5552,6147,12611,13158,13055,12943,11831,1565,5711,1408,12397
141,9593,7751,1074,5519,10565,15340,15251,7744,12091,13091,10747,7730,13100,8654,4099,5741,4610,3121,7484,12517
142,8503,14885,17528,11481,5740,11261,12012,149,3118,11541,7921,8861,5016,8421,9367,5882,7728,8914,5229,10901
143,10850,6645,11607,9384,9239,9434,6199,11262,6513,4840,9560,11654,6021,11714,6571,11849,11831,11971,10857,11999
144,12490,6218,11831,10993,9586,12016,10834,9239,8654,6645,13100,6199,6513,11262,11607,9434,9384,11020,11814,2407
145,9687,625,8002,12750,12029,12929,9963,9288,7894,10319,12445,12848,7434,7546,15003,14965,10651,13100,10142,4672
146,13714,8557,14236,3839,14127,13998,13999,9995,7490,5961,9683,13362,13773,4791,2982,13569,9195,7355,14161,13196
147,14932,4672,14965,15003,14843,10142,10651,3139,14846,14527,10823,15137,15060,14898,14462,14862,5622,14875,4762,7650
148,7373,10329,9940,12283,16489,18898,14918,9464,14989,7723,14502,7335,1506,9920,10322,8393,125,9859,1447,1311
149,14885,8503,9367,14351,16887,12231,5882,5091,1215,18228,10340,10599,12281,10862,2504,12523,12184,8861,12949,9525
150,13573,13416,10504,11971,11721,10742,6101,2992,10041,11822,6222,14351,6618,7056,14680,18379,10815,6175,925,1077
151,15003,10651,10142,4672,14932,14843,14965,10599,10340,14351,6189,14769,15137,7650,10823,14462,14846,7736,5622,18228
152,6204,14602,15168,5723,6179,14680,10815,10394,7056,14191,524,8147,11015,4299,18668,15791,7998,11002,13573,14809
153,13573,9395,13416,14308,6101,13289,10815,7674,7056,14680,14351,925,9603,8443,6175,8034,13912,10742,11721,1988
154,14237,9328,7506,13829,10868,14126,14217,13858,6562,13759,14253,7674,14351,12298,11014,9053,13371,8832,9339,12546
155,56,8654,13100,13006,13020,1408,1272,12041,10749,6147,8578,13089,13158,1565,12943,12397,5552,5711,12611,13055
156,3039,11541,6645,11262,11607,9384,6513,9434,9239,6199,5632,11910,5137,17216,17250,10752,10850,12211,17551,6512
157,10142,14932,4672,14843,10651,14965,15003,14910,14898,14462,14527,15137,7736,10823,3139,7650,4762,5622,14846,14875
158,6513,11262,6199,9239,9434,6645,9384,11607,1466,3102,5248,1532,2949,11488,11935,11999,11831,11562,10857,10944
159,11541,12992,8645,13130,14932,14843,10142,4672,10651,14965,15003,11481,11928,11808,11814,3039,12138,8503,16964,10102
160,427,306,11028,10857,11419,2782,12008,5166,11814,7298,14462,6297,10944,11928,10842,7731,13962,2400,11881,11166
161,178,15668,15362,8654,13100,5552,12943,10749,13006,8578,12611,13023,13158,1272,12041,1408,13055,6147,13020,1565
162,10854,11971,1800,12016,4287,15320,7998,119,8569,6618,11689,1883,9041,11758,11903,9468,11565,17463,9567,6629
163,10340,14351,6745,14965,10651,4672,10142,14932,14843,15003,13254,6101,10599,13266,14052,4681,7567,14153,10953,7056
164,11831,507,6645,6513,9239,6199,9434,11262,9384,11607,11634,11844,17402,11999,10857,11562,17555,13028,7335,7858
